LineNumber StartingPointCoordX StartingPointCoordY EndingPointCoordX EndingPointCoordY
1		45			120		37		120
2		36			121		31		121
3		30			120		30		118
4		29			117		35		111
5		36			110		44		97
6		44			96		36		84
7		37			83		42		77
8		43			76		52		75
9		53			74		62		75
10		63			75		75		75
11		76			76		76		82
12		77			83		79		87
13		80			88		85		93
14		86			93		93		96
15		94			97		98		99
16		99			99		104		100
17		104			101		103		105
18		102			106		99		109
19		98			109		92		108
20		92			107		88		107
21		88			106		84		105
22		83			105		78		106
23		77			107		74		109
24		73			108		70		107
25		69			108		65		109
26		65			110		63		114
27		62			115		58		119
28		57			120		52		122
29		51			122		46		125
30		45			126		43		129
31		42			130		39		132
32		39			133		37		136
33		36			137		32		138
34		33			137		35		132
35		34			131		37		127
36		38			126		44		124
37		45			124		48		122
38		48			121		45		119
39		29			135		27		132
40		26			132		22		133
41		21			134		22		137
42		23			137		28		136
43		66			121		70		119
44		71			120		67		122
45		105			101		104		105
46		103			106		104		110
47		105			111		112		115
48		113			115		122		116
49		123			116		124		117
50		123			117		115		118
51		115			117		110		118
52		109			118		101		120
53		100			120		98		124
54		99			125		101		129
55		106			101		115		102
56		116			102		131		103
57		132			102		145		105
58		146			105		160		102
59		100			128		94		128
60		93			128		81		127
61		80			128		75		127
62		76			126		76		123
63		75			123		71		127
64		72			127		73		129
65		72			130		62		129
66		61			128		56		125
67		55			126		47		127
68		46			128		41		133
69		39			133		35		140
70		34			140		32		152
71		31			153		38		156
72		39			155		51		156
73		50			157		47		166
74		48			167		54		176
75		54			175		46		183
76		47			184		53		190
77		48			185		50		187
78		50			188		54		189
79		55			189		57		189
80		56			190		53		190
81		52			191		50		191
82		49			192		47		192
83		46			193		44		193
84		44			192		43		191
85		43			190		44		189
86		44			188		43		187
87		43			186		42		184
88		41			183		40		182
89		37			182		37		187
90		38			188		39		188
91		40			189		40		192
92		39			192		38		192
93		37			193		36		192
94		36			191		35		191
95		35			192		35		195
96		36			196		39		196
97		39			197		40		198
98		41			199		42		199
99		43			200		44		199
100		44			198		45		197
101		46			196		47		196
102		47			197		50		200
103		51			201		52		202
104		55			202		56		203
105		57			203		58		204
106		59			204		59		211
107		58			212		58		213
108		57			214		57		215
109		58			216		58		223
110		59			223		62		223
111		63			224		65		226
112		66			225		67		225
113		67			226		67		228
114		66			229		65		230
115		62			229		59		235
116		60			235		65		234
117		66			234		82		233
118		82			234		73		240
119		73			241		63		243
120		64			244		72		241
121		74			242		79		246
122		80			245		84		238
123		85			239		92		242
124		93			243		102		248
125		103			248		113		258
126		114			258		130		255
127		131			255		140		247 ****
128		140			246		140		240
129		141			239		143		237
130		144			238		155		238
131		156			239		159		240
132		160			240		162		241
133		163			242		167		244
134		168			244		171		246
135		172			246		175		248
136		176			248		177		249
137		178			250		179		251
138		179			252		180		254
139		181			255		183		257
140		183			258		185		260
141		186			260		189		261
142		189			262		191		263
143		192			263		195		263
144		196			262		197		261
